text,entities
What is the status of my flight QF5402?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Please let me know about flight LH3348.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Your booking for flight QR2782 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
Flight BA6153 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight UL7943 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Has EK7556 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Is there any update for flight DL4630?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Has UL4143 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Flight EK5076 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Your booking for flight BA9598 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
My flight number is EK1930.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
Flight QR6567 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight QF2215 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Is there any update for flight EK5041?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Is there any update for flight BA1241?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
I missed flight QR3764 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
Has LH6704 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Flight AF7136 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight CX9688 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight CX1924 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
I missed flight BA1874 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
Is there any update for flight LH3611?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Flight UL7296 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
When will BA2508 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
Flight UL9489 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Please let me know about flight UL7214.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Is there any update for flight AF2876?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Has QF9253 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Has CX1405 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
What is the status of my flight QR3415?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Is there any update for flight UL8378?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Flight LH4143 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Is there any update for flight QR2633?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Please let me know about flight UL3925.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Flight QR6771 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Please let me know about flight CX1761.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Please let me know about flight CX2633.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
What is the status of my flight AA749?,"[{'start': 32, 'end': 37, 'label': 'B-FLIGHT'}]"
When will LH7461 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
My flight number is DL4991.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
What is the status of my flight LH8641?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Flight QR1459 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Please let me know about flight CX208.,"[{'start': 32, 'end': 37, 'label': 'B-FLIGHT'}]"
Has EK2273 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Your booking for flight AF2876 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
Has QR3887 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
When will LH3415 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
Is there any update for flight QF6519?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
When will AA9598 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
I missed flight QF8754 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
Please let me know about flight BA208.,"[{'start': 32, 'end': 37, 'label': 'B-FLIGHT'}]"
Flight CX1930 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
When will EK900 depart?,"[{'start': 10, 'end': 15, 'label': 'B-FLIGHT'}]"
I missed flight QF9253 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
Has UL4563 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
When will BA2215 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
When will CX9598 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
Flight QF7214 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight LH7012 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight DL5041 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Your booking for flight EK2174 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
Your booking for flight AF7930 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
My flight number is EK7265.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
My flight number is QF9666.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
What is the status of my flight DL8417?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Flight AA2608 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight UL1874 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight CX7012 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
When will QF6846 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
When will CX1027 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
Please let me know about flight AA8378.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
When will AA8754 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
Flight AF3415 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
What is the status of my flight LH4563?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Your booking for flight QR2297 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
What is the status of my flight CX5041?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Please let me know about flight DL8797.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
What is the status of my flight DL9426?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Has EK6567 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Please let me know about flight AA749.,"[{'start': 32, 'end': 37, 'label': 'B-FLIGHT'}]"
Flight BA508 has been rescheduled.,"[{'start': 7, 'end': 12, 'label': 'B-FLIGHT'}]"
Flight CX9684 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight QF8754 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight DL3415 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
I missed flight UL4563 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
What is the status of my flight QR2297?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
What is the status of my flight LH5076?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
My flight number is LH3007.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
Your booking for flight DL6625 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
Has AA6420 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
What is the status of my flight AF6619?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
My flight number is CX8378.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
Is there any update for flight AA569?,"[{'start': 31, 'end': 36, 'label': 'B-FLIGHT'}]"
When will QF1761 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
Please let me know about flight EK4928.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Has DL1241 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Has AA3085 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
My flight number is UL7450.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
Flight UL2128 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Has QF6323 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
What is the status of my flight UL1947?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Your booking for flight EK340 is confirmed.,"[{'start': 24, 'end': 29, 'label': 'B-FLIGHT'}]"
Has LH3887 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Flight EK9253 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
When will BA4731 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
Is there any update for flight AF3217?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Has QR8762 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Has UL1027 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Flight DL3475 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
What is the status of my flight BA3318?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Has QF7265 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Please let me know about flight LH6271.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
My flight number is QF5076.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
Flight DL6271 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Is there any update for flight AA2096?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Has EK1292 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Your booking for flight QR749 is confirmed.,"[{'start': 24, 'end': 29, 'label': 'B-FLIGHT'}]"
What is the status of my flight BA6567?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Flight EK8807 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Has QF6323 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Flight CX9684 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Is there any update for flight EK2298?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Is there any update for flight LH3059?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
When will DL900 depart?,"[{'start': 10, 'end': 15, 'label': 'B-FLIGHT'}]"
Has AA1721 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Is there any update for flight CX9426?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Flight QR2805 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Please let me know about flight AF3925.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
I missed flight CX4455 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
Your booking for flight BA6846 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
Has BA1250 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Please let me know about flight QF7265.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
My flight number is CX8378.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
I missed flight QF7002 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
I missed flight LH4609 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
Has DL1405 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Your booking for flight DL4393 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
Flight AF3890 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Please let me know about flight CX9426.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Flight QR3889 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Has EK1801 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
What is the status of my flight AA3843?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Flight QR8641 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
I missed flight AF8641 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
Your booking for flight AA754 is confirmed.,"[{'start': 24, 'end': 29, 'label': 'B-FLIGHT'}]"
My flight number is BA7136.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
What is the status of my flight CX9683?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Has AF5076 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
When will EK3887 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
Has LH6704 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
I missed flight AF1354 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
My flight number is EK2045.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
Flight AA508 has been rescheduled.,"[{'start': 7, 'end': 12, 'label': 'B-FLIGHT'}]"
Flight UL4738 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight DL9435 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight AF513 was delayed due to weather.,"[{'start': 7, 'end': 12, 'label': 'B-FLIGHT'}]"
Please let me know about flight CX6089.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Flight DL7758 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
My flight number is BA6963.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
Your booking for flight QR2633 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
Flight BA3212 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight BA9426 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Is there any update for flight BA836?,"[{'start': 31, 'end': 36, 'label': 'B-FLIGHT'}]"
Flight AA1638 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
My flight number is AF8797.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
What is the status of my flight EK1459?,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
When will DL340 depart?,"[{'start': 10, 'end': 15, 'label': 'B-FLIGHT'}]"
Is there any update for flight AA8696?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Flight CX8312 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight BA7676 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Flight LH7012 was delayed due to weather.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Your booking for flight AF4455 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
I missed flight QR6601 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
Has AA1924 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
I missed flight BA3843 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
I missed flight AF7676 this morning.,"[{'start': 16, 'end': 22, 'label': 'B-FLIGHT'}]"
Is there any update for flight AA7296?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Has QF4563 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Flight UL3890 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Please let me know about flight QF9684.,"[{'start': 32, 'end': 38, 'label': 'B-FLIGHT'}]"
Has QF8378 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Flight EK2273 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
Is there any update for flight UL8210?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Has LH836 landed yet?,"[{'start': 4, 'end': 9, 'label': 'B-FLIGHT'}]"
My flight number is EK9253.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
Has LH6970 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Flight UL6089 has been rescheduled.,"[{'start': 7, 'end': 13, 'label': 'B-FLIGHT'}]"
My flight number is LH8378.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
My flight number is LH3887.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
Your booking for flight LH900 is confirmed.,"[{'start': 24, 'end': 29, 'label': 'B-FLIGHT'}]"
Is there any update for flight LH6373?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
When will QR4483 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
My flight number is BA124.,"[{'start': 20, 'end': 25, 'label': 'B-FLIGHT'}]"
Has DL2297 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
Your booking for flight BA2626 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
Is there any update for flight QF4385?,"[{'start': 31, 'end': 37, 'label': 'B-FLIGHT'}]"
Has EK3638 landed yet?,"[{'start': 4, 'end': 10, 'label': 'B-FLIGHT'}]"
My flight number is DL6567.,"[{'start': 20, 'end': 26, 'label': 'B-FLIGHT'}]"
When will AF6508 depart?,"[{'start': 10, 'end': 16, 'label': 'B-FLIGHT'}]"
Your booking for flight BA6619 is confirmed.,"[{'start': 24, 'end': 30, 'label': 'B-FLIGHT'}]"
